TYPE,TRACE,A

DATE & TIME,28Jun2013 05:08PM EDT
INSTRUMENT,86143B,SN US40150495,REV B.04.02
AIR/VACUUM/STP,VACUUM

TRACE,A
START,950.000
STOP,1200.000
HORIZONTAL SCALE,nm
LENGTH (pts),1001
RBW (nm),1.00
VBW (Hz),33

REFERENCE LEVEL (dBm),-34.45
VERTICAL SCALE,dBm
SENSITIVITY (dBm),-80.43

AVERAGING,OFF
MIN,OFF
MAX,OFF
SMOOTHING,OFF
TRACE MATH,OFF
OFFSET (dB),0.000

INDEX,A
1,-66.963
2,-66.965
3,-67.115
4,-67.067
5,-67.134
6,-67.049
7,-67.035
8,-67.078
9,-67.080
10,-66.979
11,-66.890
12,-66.811
13,-66.860
14,-66.826
15,-66.835
16,-66.982
17,-66.915
18,-66.882
19,-67.025
20,-66.894
21,-66.991
22,-66.969
23,-66.853
24,-66.879
25,-66.855
26,-66.757
27,-66.871
28,-66.927
29,-66.859
30,-66.828
31,-66.848
32,-66.778
33,-66.816
34,-66.780
35,-66.928
36,-66.849
37,-66.802
38,-66.813
39,-66.821
40,-66.799
41,-66.835
42,-66.877
43,-66.912
44,-66.739
45,-66.769
46,-66.845
47,-66.834
48,-66.860
49,-66.878
50,-66.889
51,-66.922
52,-66.870
53,-66.965
54,-66.881
55,-66.980
56,-66.891
57,-66.893
58,-66.927
59,-66.935
60,-66.850
61,-66.896
62,-66.943
63,-66.996
64,-66.894
65,-66.912
66,-66.978
67,-66.936
68,-66.924
69,-66.919
70,-66.960
71,-67.003
72,-66.860
73,-66.911
74,-66.930
75,-66.961
76,-67.028
77,-67.009
78,-66.979
79,-66.952
80,-67.085
81,-67.027
82,-66.987
83,-67.061
84,-67.138
85,-67.352
86,-67.532
87,-67.495
88,-67.507
89,-67.515
90,-67.537
91,-67.571
92,-67.668
93,-67.604
94,-67.669
95,-67.652
96,-67.615
97,-67.617
98,-67.735
99,-67.492
100,-67.311
101,-67.301
102,-67.173
103,-67.265
104,-67.281
105,-67.144
106,-67.081
107,-67.159
108,-67.263
109,-67.276
110,-67.287
111,-67.281
112,-67.291
113,-67.331
114,-67.346
115,-67.336
116,-67.349
117,-67.333
118,-67.400
119,-67.400
120,-67.381
121,-67.426
122,-67.401
123,-67.512
124,-67.508
125,-67.562
126,-67.498
127,-67.497
128,-67.581
129,-67.584
130,-67.494
131,-67.525
132,-67.557
133,-67.591
134,-67.594
135,-67.587
136,-67.611
137,-67.621
138,-67.617
139,-67.573
140,-67.594
141,-67.682
142,-67.630
143,-67.652
144,-67.587
145,-67.637
146,-67.597
147,-67.736
148,-67.602
149,-67.651
150,-67.627
151,-67.635
152,-67.641
153,-67.636
154,-67.651
155,-67.743
156,-67.731
157,-67.723
158,-67.699
159,-67.845
160,-67.818
161,-67.782
162,-67.779
163,-67.859
164,-67.822
165,-67.742
166,-67.781
167,-67.821
168,-67.919
169,-67.797
170,-67.746
171,-67.846
172,-67.879
173,-67.913
174,-68.090
175,-68.165
176,-68.186
177,-68.118
178,-68.166
179,-68.425
180,-68.523
181,-68.474
182,-68.588
183,-68.433
184,-68.234
185,-68.254
186,-68.304
187,-68.455
188,-68.204
189,-68.190
190,-68.306
191,-68.497
192,-68.545
193,-68.571
194,-68.571
195,-68.629
196,-68.634
197,-68.629
198,-68.639
199,-68.517
200,-68.327
201,-68.055
202,-67.972
203,-67.958
204,-67.931
205,-67.830
206,-67.897
207,-67.830
208,-67.903
209,-67.739
210,-67.763
211,-67.735
212,-67.649
213,-67.504
214,-67.437
215,-67.182
216,-66.905
217,-66.484
218,-66.009
219,-65.522
220,-65.002
221,-64.499
222,-64.135
223,-63.865
224,-63.649
225,-63.316
226,-62.771
227,-62.073
228,-61.119
229,-60.265
230,-59.694
231,-59.236
232,-58.794
233,-58.428
234,-58.057
235,-57.696
236,-57.260
237,-56.789
238,-56.169
239,-55.461
240,-54.957
241,-54.608
242,-54.291
243,-54.028
244,-53.818
245,-53.565
246,-53.255
247,-52.820
248,-52.338
249,-51.837
250,-51.293
251,-50.706
252,-49.978
253,-49.254
254,-48.439
255,-47.674
256,-47.033
257,-46.527
258,-45.846
259,-45.146
260,-44.470
261,-43.902
262,-43.455
263,-43.189
264,-43.006
265,-42.726
266,-42.373
267,-42.027
268,-41.742
269,-41.583
270,-41.570
271,-41.587
272,-41.491
273,-41.310
274,-41.111
275,-40.953
276,-40.903
277,-40.967
278,-41.090
279,-41.184
280,-41.231
281,-41.227
282,-41.268
283,-41.314
284,-41.226
285,-41.090
286,-40.904
287,-40.639
288,-40.400
289,-40.203
290,-40.026
291,-39.948
292,-39.848
293,-39.727
294,-39.626
295,-39.424
296,-39.251
297,-39.068
298,-38.794
299,-38.475
300,-38.084
301,-37.706
302,-37.496
303,-37.585
304,-37.914
305,-38.501
306,-39.253
307,-39.932
308,-40.297
309,-40.417
310,-40.353
311,-40.263
312,-40.189
313,-40.165
314,-40.156
315,-40.094
316,-40.001
317,-39.937
318,-39.906
319,-39.845
320,-39.747
321,-39.646
322,-39.504
323,-39.376
324,-39.299
325,-39.283
326,-39.305
327,-39.316
328,-39.286
329,-39.147
330,-38.927
331,-38.741
332,-38.680
333,-38.726
334,-38.816
335,-38.956
336,-39.046
337,-39.078
338,-39.100
339,-39.124
340,-39.110
341,-38.977
342,-38.775
343,-38.682
344,-38.674
345,-38.691
346,-38.768
347,-38.846
348,-38.861
349,-38.866
350,-38.797
351,-38.674
352,-38.524
353,-38.486
354,-38.550
355,-38.709
356,-38.902
357,-39.043
358,-39.050
359,-38.942
360,-38.839
361,-38.854
362,-38.986
363,-39.119
364,-39.183
365,-39.096
366,-38.843
367,-38.545
368,-38.266
369,-38.066
370,-37.977
371,-37.985
372,-38.055
373,-38.140
374,-38.153
375,-38.179
376,-38.122
377,-38.014
378,-37.925
379,-37.862
380,-37.792
381,-37.737
382,-37.688
