TYPE,TRACE,A

DATE & TIME,28Jun2013 05:11PM EDT
INSTRUMENT,86143B,SN US40150495,REV B.04.02
AIR/VACUUM/STP,VACUUM

TRACE,A
START,950.000
STOP,1200.000
HORIZONTAL SCALE,nm
LENGTH (pts),1001
RBW (nm),1.00
VBW (Hz),33

REFERENCE LEVEL (dBm),-34.45
VERTICAL SCALE,dBm
SENSITIVITY (dBm),-80.43

AVERAGING,OFF
MIN,OFF
MAX,OFF
SMOOTHING,OFF
TRACE MATH,OFF
OFFSET (dB),0.000

INDEX,A
1,-89.567
2,-89.571
3,-89.574
4,-89.579
5,-85.487
6,-89.587
7,-85.708
8,-89.345
9,-89.599
10,-89.603
11,-89.607
12,-89.611
13,-89.616
14,-89.620
15,-89.624
16,-89.628
17,-86.477
18,-89.636
19,-89.641
20,-89.645
21,-89.649
22,-89.653
23,-89.657
24,-89.661
25,-89.666
26,-89.670
27,-89.674
28,-88.356
29,-84.725
30,-89.687
31,-89.691
32,-89.695
33,-89.699
34,-89.703
35,-89.708
36,-89.712
37,-89.716
38,-89.720
39,-89.725
40,-89.729
41,-89.733
42,-89.738
43,-89.742
44,-89.753
45,-89.764
46,-89.775
47,-89.786
48,-89.798
49,-89.809
50,-89.820
51,-89.832
52,-89.843
53,-89.854
54,-89.866
55,-89.877
56,-89.889
57,-89.900
58,-87.461
59,-86.289
60,-89.935
61,-89.947
62,-89.958
63,-89.970
64,-89.982
65,-89.993
66,-90.005
67,-90.017
68,-90.029
69,-90.041
70,-90.053
71,-90.065
72,-90.077
73,-90.089
74,-90.101
75,-90.113
76,-85.144
77,-90.137
78,-90.150
79,-90.162
80,-90.174
81,-90.186
82,-90.199
83,-90.211
84,-88.136
85,-90.243
86,-90.260
87,-90.276
88,-90.293
89,-90.309
90,-90.326
91,-90.342
92,-90.359
93,-90.376
94,-90.393
95,-90.409
96,-86.666
97,-90.443
98,-90.460
99,-90.478
100,-90.495
101,-90.512
102,-90.042
103,-90.547
104,-90.564
105,-90.582
106,-90.600
107,-90.617
108,-90.635
109,-90.653
110,-90.671
111,-90.689
112,-90.707
113,-90.725
114,-90.744
115,-90.762
116,-90.780
117,-90.799
118,-90.817
119,-90.836
120,-89.727
121,-90.874
122,-90.892
123,-90.911
124,-90.928
125,-90.945
126,-88.692
127,-89.026
128,-90.996
129,-91.012
130,-91.030
131,-91.047
132,-91.064
133,-91.081
134,-91.099
135,-91.116
136,-91.134
137,-91.152
138,-91.169
139,-91.187
140,-91.205
141,-91.222
142,-91.241
143,-91.259
144,-91.277
145,-87.443
146,-91.313
147,-91.332
148,-91.350
149,-91.368
150,-91.387
151,-91.406
152,-91.425
153,-91.443
154,-91.462
155,-91.481
156,-88.659
157,-91.520
158,-91.539
159,-91.558
160,-91.577
161,-91.597
162,-91.617
163,-91.636
164,-91.650
165,-91.663
166,-91.676
167,-91.689
168,-91.702
169,-91.715
170,-91.728
171,-91.741
172,-91.755
173,-91.768
174,-91.782
175,-91.795
176,-91.808
177,-91.822
178,-91.835
179,-87.711
180,-91.863
181,-91.876
182,-88.328
183,-91.904
184,-91.918
185,-91.932
186,-91.946
187,-91.959
188,-91.974
189,-86.367
190,-92.002
191,-92.016
192,-92.030
193,-92.044
194,-92.058
195,-88.220
196,-92.087
197,-92.102
198,-92.116
199,-92.131
200,-92.145
201,-92.160
202,-92.174
203,-92.189
204,-88.901
205,-92.220
206,-92.236
207,-92.252
208,-92.267
209,-92.283
210,-92.299
211,-92.315
212,-92.331
213,-92.347
214,-88.689
215,-92.379
216,-92.396
217,-92.076
218,-92.428
219,-92.445
220,-92.461
221,-92.478
222,-92.495
223,-92.512
224,-92.528
225,-92.545
226,-92.562
227,-92.579
228,-92.596
229,-92.613
230,-92.630
231,-92.647
232,-92.665
233,-89.111
234,-92.699
235,-92.717
236,-92.735
237,-92.752
238,-92.770
239,-92.788
240,-92.806
241,-92.823
242,-88.323
243,-92.860
244,-92.877
245,-92.893
246,-92.910
247,-92.927
248,-92.944
249,-92.962
250,-91.267
251,-92.996
252,-93.014
253,-93.031
254,-93.049
255,-93.066
256,-93.084
257,-93.101
258,-93.119
259,-93.137
260,-93.155
261,-93.173
262,-93.191
263,-93.209
264,-93.227
265,-93.173
266,-93.264
267,-93.283
268,-93.301
269,-90.210
270,-93.339
271,-93.357
272,-93.376
273,-90.231
274,-93.414
275,-93.434
276,-93.453
277,-93.472
278,-93.491
279,-88.220
280,-93.531
281,-93.550
282,-90.249
283,-93.590
284,-93.605
285,-93.621
286,-93.637
287,-93.652
288,-93.668
289,-93.683
290,-93.699
291,-93.715
292,-90.748
293,-93.747
294,-93.763
295,-93.779
296,-93.795
297,-93.811
298,-93.827
299,-93.844
300,-93.860
301,-93.876
302,-93.893
303,-93.910
304,-93.926
305,-93.943
306,-92.817
307,-93.976
308,-93.993
309,-94.010
310,-94.027
311,-94.044
312,-94.061
313,-92.596
314,-94.096
315,-94.113
316,-94.131
317,-94.148
318,-94.166
319,-94.184
320,-92.356
321,-94.219
322,-94.237
323,-94.255
324,-90.573
325,-94.287
326,-89.765
327,-94.319
328,-94.335
329,-92.071
330,-94.368
331,-94.384
332,-94.401
333,-94.417
334,-94.434
335,-94.450
336,-94.467
337,-94.484
338,-94.501
339,-94.517
340,-94.534
341,-94.551
342,-94.568
343,-94.586
344,-94.603
345,-94.620
346,-94.637
347,-94.655
348,-91.233
349,-94.690
350,-94.707
351,-93.039
352,-94.743
353,-94.761
354,-94.779
355,-94.797
356,-94.815
357,-94.833
358,-94.851
359,-93.271
360,-92.729
361,-94.907
362,-94.925
363,-94.944
364,-94.961
365,-94.979
366,-94.997
367,-95.015
368,-95.032
369,-95.050
370,-95.068
371,-90.303
372,-95.104
373,-92.547
374,-95.141
375,-95.159
376,-92.811
377,-95.196
378,-93.759
379,-95.234
380,-92.875
381,-95.271
382,-95.290
